German,English
die Gicht,the gout
die Hepatitis,the hepatitis
die Infektionskrankheit,the infectious disease
die Kinderlähmung,the polio
die Leberzirrhose,the liver cirrhosis
die Lungenentzündung,the pneumonia
die Magersucht,the anorexia
die Masern,the measles
die Meningitis,the meningitis
die Mittelohrentzündung,the middle ear infection
die Pilzerkrankung,the fungal disease
die Psychose,the psychosis
die Warze,the wart
die Windpocken,the chickenpox
der Bänderriss,the torn ligament
der Bluterguss,the bruise
der Knochenbruch,the bone fracture
der Leistenbruch,the inguinal hernia
die Bänderzerrung,the torn ligament
die Verstauchung,the sprain
verletzt,injured
der Phantomschmerz,the phantom pain
die Migräne,the migraine
die Ohrenschmerzen,the earache
die Schmerzlinderung,the pain relief
die Unterleibschmerzen,the lower abdominal pain
"beatmen, die Beatmung","""to ventilate, the ventilation"""
der Erste-Hilfe-Koffer,the first-aid kit
der Krampfanfall,the seizure
der Notarzt,the emergency doctor
der Schock,the shock
die Erfrierung,the frostbite
die Gehirnerschütterung,the concussion
die Herzmassage,the cardiac massage
die Reanimation,the resuscitation
die Tragbahre,the stretcher
die Unterkühlung,the hypothermia
die Verätzung,the chemical burn
die Verbrennung,the burn
"die Sprechstunde , die Arbeitszeit des Arztes","""the consultation hour, the doctor's office hours"""
die Versichertenkarte,the health insurance card
einen Termin verschieben,to postpone an appointment
jemanden krankschreiben,to write someone a sick note
Das ist angeschwollen.,This is swollen.
Ich benötige dieses Medikament ...,I need this medicine...
Ich bin Diabetiker.,I am a diabetic.
Ich bin herzkrank.,I have a heart condition.
Ich habe Durchfall.,I have diarrhea.
Ich habe Fieber.,I have a fever.
Ich habe mich hier verletzt.,I hurt myself here.
Ich habe Schlafstörungen.,I have sleeping problems.
Ich habe Schmerzen.,I am in pain.
Ich habe Verstopfung.,I have constipation.
Ich wurde gestochen.,I have been stung.
Mir ist übel.,I feel nauseous.
Bitte atmen Sie jetzt aus.,Please breathe out now.
Bitte atmen Sie tief ein.,Please take a deep breath in.
der Heilpraktiker,the alternative practitioner
die Akupunktur,the acupuncture
die alternative Medizin,the alternative medicine
die Homöopathie,the homeopathy
die Kräuterheilkunde,the herbal medicine
die ärztliche Schweigepflicht,the medical confidentiality
die Überweisung an einen Facharzt,the referral to a specialist
Ich verschreibe Ihnen das Medikament.,I will prescribe you the medicine.
Kann ich Ihnen helfen?,Can I help you?
Können Sie den Arm bewegen?,Can you move your arm?
nach jeder Mahlzeit,after every meal
Sie müssen das Medikament einmal täglich nehmen.,You must take the medicine once a day.
Tut das weh?,Does that hurt?
Und jetzt den Mund ganz weit aufmachen.,And now open your mouth very wide.
vor jeder Mahlzeit,before every meal
das Wattestäbchen,the cotton swab
das Zäpfchen,the suppository
die Augentropfen,the eye drops
die Nasentropfen,the nose drops
die Ohrentropfen,the ear drops
die Spirale (Verhütungsmittel),the coil (contraceptive)
einreiben,to rub in
etwas einführen,to insert something
das Übergewicht,the overweight
das Untergewicht,the underweight
der Tastsinn,the sense of touch
die Meditation,the meditation
meditieren,to meditate
riechen,to smell
der Stress,the stress
gestresst,stressed
das Sekret,the secretion
der Ausfluss,the discharge
der Juckreiz,the itch
der Stuhlgang,the bowel movement
die Atemfrequenz,the respiratory rate
die Blähungen,the flatulence
die Monatsblutung,the menstruation
die Schwellung,the swelling
die Stimme,the voice
würgen,to gag
depressiv,depressive
der Allergiker,the allergy sufferer
der Hypochonder,the hypochondriac
leicht,light
schwer,heavy
das Shampoo,the shampoo
der Einmalhandschuh,the disposable glove
die Badewanne,the bathtub
die Bakterien,the bacteria
die Haarschuppen,the dandruff
die Hautcreme,the skin cream
bergsteigen,to go mountaineering
das Fitnessstudio,the fitness studio
das Laufband,the treadmill
das Yoga,the yoga
der Leistungssport,the competitive sport
der Muskelaufbau,the muscle building
der Wettkampf,the competition
die Sportmedizin,the sports medicine
Golf spielen,to play golf
laufen,to run
turnen,to do gymnastics
das Fruchtwasser,the amniotic fluid
der Embryo,the embryo
der Kreißsaal,the delivery room
der Schwangerschaftsmonat,the month of pregnancy
die Eizelle,the ovum
die Fruchtblase,the amniotic sac
die Gebärmutter,the womb
die Geburtszange,the forceps
die Muttermilchpumpe,the breast milk pump
die Samenflüssigkeit,the seminal fluid
das Innenohr,the inner ear
das Ohrläppchen,the earlobe
der Hinterkopf,the back of the head
der Rachen,the pharynx
die Backe,the cheek
die Falte,the wrinkle
die Hautpore,the skin pore
"die Kinnlade, der Unterkiefer","""the lower jaw"""
die Mundhöhle,the oral cavity
die Oberlippe,the upper lip
die Schläfe,the temple
die Unterlippe,the lower lip
das Antiallergikum,the antiallergic
das Fliegengitter,the fly screen
das Insektenschutzmittel,the insect repellent
der Floh,the flea
der Parasit,the parasite
der Stich,the sting / bite
der Wurm,the worm
die Biene,the bee
die Fliegenklatsche,the fly swatter
die Mücke,the mosquito
die Schlange,the snake
die Schwellung,the swelling
die Zecke,the tick
die Zeckenzange,the tick remover
bohren,to drill
das Implantat,the implant
das Zahnfleisch,the gum
der Backenzahn,the molar
der Bohrer,the drill
der Mundspatel,the tongue depressor
der Schneidezahn,the incisor
der Spiegel,the mirror
der Weisheitszahn,the wisdom tooth
"der Zahnbelag, der Zahnplaque","""the plaque"""
der Zahnschmelz,the tooth enamel
der Zahnstein,the tartar
die Brücke (zahnmedizinisch),the bridge (dental)
die Füllung,the filling
die Kieferorthopädie,the orthodontics
die Milchzähne,the milk teeth
die Polierbürste,the polishing brush
die Sonde,the probe
die Zahnarzthelferin,the dental assistant
die Zahnkrone,the crown (tooth)
die Zahnseide,the dental floss
die Zahnspange,the braces
die Zunge,the tongue
einen Zahn ziehen,to pull a tooth
der Augapfel,the eyeball
der Sehnerv,the optic nerve
die Augenheilkunde,the ophthalmology
die Augenlinse,the eye lens
die Augentropfen,the eye drops
die Bindehaut,the conjunctiva
die Farbenblindheit,the color blindness
die Hornhaut,the cornea
die Hornhautverkrümmung,the astigmatism
die Laserbehandlung,the laser treatment
die Lederhaut,the sclera
die Nachtblindheit,the night blindness
die Netzhaut,the retina
die Pupille,the pupil
die Regenbogenhaut,the iris
die Sehschwäche,the poor eyesight
der Drogenabhängige,the drug addict
der Drogenentzug,the drug withdrawal
der Drogenrausch,the drug-induced high
der Giftpilz,the poisonous mushroom
die giftige Pflanze,the poisonous plant
die Selbsthilfegruppe,the self-help group
die Sucht,the addiction
die Verätzung,the chemical burn
das Fettgewebe,the adipose tissue
das Gehirn,the brain
das Geschlechtsorgan,the sex organ
das Großhirn,the cerebrum
das Kleinhirn,the cerebellum
das zentrale Nervensystem,the central nervous system
der Adamsapfel,the Adam's apple
der Bauchmuskel,the abdominal muscle
der Bizeps,the biceps
der Brustmuskel,the pectoral muscle
der Dickdarm,the large intestine
der Dünndarm,the small intestine
der Eierstock,the ovary
der Eileiter,the fallopian tube
der Harnleiter,the ureter
der Lungenflügel,the lung lobe
der Magen,the stomach
der Rückenmuskel,the back muscle
der Schließmuskel,the sphincter muscle
der Trizeps,the triceps
die Bauchspeicheldrüse,the pancreas
die Blase,the bladder
die Gallenblase,the gallbladder
die Herzklappe,the heart valve
die Hirnhaut,the meninges
die Prostata,the prostate
die Schilddrüse,the thyroid gland
die Schleimhaut,the mucous membrane
die Schweißdrüse,the sweat gland
die Speiseröhre,the esophagus
das Brustbein,the breastbone
das Darmbein,the ilium
das Fersenbein,the heel bone
das Jochbein,the zygomatic bone
das Knochenmark,the bone marrow
das Kreuzbein,the sacrum
das Nasenbein,the nasal bone
das Rückenmark,the spinal cord
das Schambein,the pubic bone
das Schlüsselbein,the clavicle
das Schulterblatt,the shoulder blade
das Sitzbein,the ischium
das Sprungbein,the talus bone
das Sprunggelenk,the ankle joint
das Steißbein,the coccyx
das Wadenbein,the fibula
der Bandscheibenvorfall,the herniated disc
der Brustwirbel,the thoracic vertebra
die Hirnschädelknochen,the cranial bones
der Lendenwirbel,the lumbar vertebra
der Oberarmknochen,the humerus
der Oberkiefer,the upper jaw
der Oberschenkelknochen,the femur
der Unterarmknochen,the forearm bone
der Unterkiefer,the lower jaw
die Bandscheibe,the intervertebral disc
die Elle,the ulna
die Fußwurzel,the tarsus
die Handwurzelknochen,the metacarpal bones
die Mittelhandknochen,the metacarpals
die Speiche,the radius
das Blutgefäß,the blood vessel
das Lymphsystem,the lymphatic system
der Blutdruck,the blood pressure
der Defibrillator,the defibrillator
der Herzschrittmacher,the pacemaker
der Körperkreislauf,the systemic circulation
der Lungenkreislauf,the pulmonary circulation
der Lymphknoten,the lymph node
der Puls,the pulse
die Atmung,the breathing
die Herzklappe,the heart valve
die Kapillaren,the capillaries
die Lymphe,the lymph
die Schlagader,the artery
die Anästhesiologie,the anesthesiology
die Forensik,the forensics
die Frauenheilkunde,the gynecology
die Geburtsmedizin,the obstetrics
die Gynäkologie,the gynecology
"die Hals-, Nasen-, Ohrenheilkunde","""the otolaryngology (ear, nose, and throat medicine)"""
die Immunologie,the immunology
die Innere Medizin,the internal medicine
die Kardiologie,the cardiology
die Kinderheilkunde,the pediatrics
die Neurologie,the neurology
die Nuklearmedizin,the nuclear medicine
die Onkologie,the oncology
die Orthopädie,the orthopedics
die Palliativmedizin,the palliative medicine
die Pathologie,the pathology
die Pharmakologie,the pharmacology
die Pneumologie,the pneumology
die Psychiatrie,the psychiatry
die Psychologie,the psychology
die Psychotherapie,the psychotherapy
die Radiologie,the radiology
die Rheumatologie,the rheumatology
die Röntgendiagnostik,the diagnostic radiology
die Toxokologie,the toxicology
die Urologie,the urology
die Virologie,the virology
ambulant,outpatient
anpiepen,to beep
das Koma,the coma
der Aufwachraum,the recovery room
der Chefarzt,the chief physician
der Dienst,the shift / duty
der Krankenpfleger,the male nurse
der Operationssaal,the operating room
der Psychologe,the psychologist
der Rollstuhl,the wheelchair
der Seelsorger,the pastoral carer
die Anästhesie,the anesthesia
die Behandlung,the treatment
die Betäubung,the anesthetization
die Desinfektion,the disinfection
die Diagnose,the diagnosis
die Gehkrücke,the crutch
die Hygiene,the hygiene
die Infusion,the infusion
die Intensivstation,the intensive care unit
die lokale Betäubung,the local anesthesia
die Nachtschicht,the night shift
die Nachtschwester,the night nurse
die Notaufnahme,the emergency room
die Punktion,the puncture
die Station,the ward
die Tablette,the tablet
die Visite,the ward round
intramuskulär,intramuscular
intravenös,intravenous
lokal,local
operieren,to operate
steril,sterile
subkutan,subcutaneous
unsteril,unsterile
das Beileid,the condolence
der Herzstillstand,the cardiac arrest
der Hirntod,the brain death
der Todeszeitpunkt,the time of death
die Leiche,the corpse
die Leichenblässe,the pallor of death
die Leichenstarre,the rigor mortis
die Sterbeurkunde,the death certificate
die Todesursache,the cause of death
ausatmen,to breathe out
das Elektrokardiogramm (EKG),the electrocardiogram (ECG)
das Röntgen,the X-ray
der Abstrich,the smear test
die Computertomographie (CT),the computed tomography (CT)
die Darmspiegelung,the colonoscopy
die Gruppentherapie,the group therapy
die Lunge abhören,to listen to the lungs
die Lungenspiegelung,the bronchoscopy
die Magenspiegelung,the gastroscopy
die Mammographie,the mammography
die Massage,the massage
die Sonographie,the sonography
die Ultraschalluntersuchung,the ultrasound examination
die Untersuchung,the examination
einatmen (1. atmen/ 2. Luft holen),to breathe in (1. to breathe/ 2. to take a breath)
etwas ausziehen,to take something off
das Dialysegerät,the dialysis machine
das Endoskop,the endoscope
das Korsett,the corset
das Skalpell,the scalpel
das Stethoskop,the stethoscope
das Ultraschallgerät,the ultrasound machine
der Katheter,the catheter
der Kompressionsstrumpf,the compression stocking
der Laser,the laser
der Tupfer,the swab
die Ampulle,the ampoule
die Insulinpumpe,the insulin pump
die Kanüle,the cannula
die Klammer,the staple
die Klemme,the clamp
die Kompresse,the compress
die Nadel,the needle
die Pinzette,the tweezers
die Pipette,the pipette
die Rasierklinge,the razor blade
die Sonde,the probe
die Verbandschere,the dressing scissors
